"year","PISA Reading","PISA Mathematics","PISA Science","AN Literacy","AN Numeracy","APK Tertiary","APS 16-18","Urban-Rural Gap","GPI","PISA Reading_score","PISA Mathematics_score","PISA Science_score","AN Literacy_score","AN Numeracy_score","APK Tertiary_score","APS 16-18_score","Urban-Rural Gap_score","GPI_score","D1a_PISA","D1b_AN","D2_Access","D3_Equity","IIEQI"
2022,359,366,383,59.49,45.24,31.16,72.88,6.75,1.044,47.5609756097561,64.7887323943662,62.2641509433962,22.0961538461539,24.986301369863,77.3263433813892,84.3026004728132,57.8272604588394,86,58.2046196491728,23.5412276080084,80.8144719271012,71.9136302294197,58.6184873534256
2023,359,366,383,68.13,62.51,31.45,73.07,6.1,1.042,47.5609756097561,64.7887323943662,62.2641509433962,38.7115384615385,48.6438356164384,81.1271297509829,85.2009456264775,62.2132253711201,88,58.2046196491728,43.6776870389884,83.1640376887302,75.10661268556,65.0382392656129
2024,359,366,383,68.32,66.42,32,74.35,8.01,1.048,47.5609756097561,64.7887323943662,62.2641509433962,39.0769230769231,54,88.3355176933159,91.2529550827423,49.3252361673414,82,58.2046196491728,46.5384615384615,89.7942363880291,65.6626180836707,65.0499839148335
2025,365,364,389,68.62,67.35,32.89,76.2,8.01,1.052,54.8780487804878,61.9718309859155,73.5849056603774,39.6538461538462,55.2739726027397,100,100,49.3252361673414,78,63.4782618089269,47.4639093782929,100,63.6626180836707,68.6511973177226
