"k","Year","AN_Literacy","AN_Numeracy","D1b","IIEQI"
0.25,2029,73.1722078195847,81.5433551336539,61.5625084006808,73.9453018307779
0.25,2045,94.6080172739286,100,94.8154012249313,86.5045100902439
0.5,2029,77.9472382400869,97.8699928822263,77.3365123999224,77.8888028305883
0.5,2045,100,100,100,87.800659784011
0.75,2029,82.9522464813545,100,83.6079293089947,79.4566570578563
0.75,2045,100,100,100,87.800659784011
1,2029,88.1945008428545,100,88.6485585027447,80.7168143562938
1,2045,100,100,100,87.800659784011
