"Scenario","Year","D1a_PISA","D1b_AN","D2_Access","D3_Equity","UR_Gap","GPI","IIEQI"
"Conservative",2029,63.4782618089269,47.4639093782929,100,63.6626180836707,8.01,1.052,68.6511973177226
"Conservative",2045,63.4782618089269,47.4639093782929,100,63.6626180836707,8.01,1.052,68.6511973177226
"Moderate",2029,63.4782618089269,77.3365123999224,100,70.9738360654067,6.15697099161968,1.04988113359375,77.947152568564
"Moderate",2045,63.4782618089269,100,100,87.8058547468074,2.14934174045991,1.04325912896482,87.8210291389336
"Optimistic",2029,63.4782618089269,88.6485585027447,100,71.9548341122818,6.15697099161968,1.0479191375,81.0204136059883
"Optimistic",2045,63.4782618089269,100,100,90.4920740827236,2.14934174045991,1.03788669029299,88.4925839729126
