"Indicator","Year_Start","Historical_Start","Year_End","Historical_End","Historical_Years","CAGR_window","Base_2025","T_2029","T_2045","CAGR","RAGR_2029","RAGR_2045","Gap_2029","Gap_2045","Status_2029","Status_2045","Mode_2029","Mode_2045"
"PISA Reading",2018,371,2022,359,4,"2018-2022",365,409,485,-0.818622737551766,2.88631456837374,1.43140557271162,3.7049373059255,2.25002831026339,"Trend Reversal","Trend Reversal","Structural stagnation","Structural stagnation"
"PISA Mathematics",2018,379,2022,366,4,"2018-2022",364,416,490,-0.868775932920618,3.39463079143412,1.49735734788667,4.26340672435473,2.36613328080729,"Trend Reversal","Trend Reversal","Structural stagnation","Structural stagnation"
"PISA Science",2018,396,2022,383,4,"2018-2022",389,426,487,-0.831008427668301,2.29749508148684,1.12975800097486,3.12850350915514,1.96076642864316,"Trend Reversal","Trend Reversal","Structural stagnation","Structural stagnation"
"AN Literacy",2021,53.39,2025,68.62,4,"2021-2025",68.62,76.62,75.73,6.47501212839401,2.79520535817055,0.49416873443906,-3.67980677022346,-5.98084339395495,"Internal Anomaly","Internal Anomaly","Planning-data misalignment","Planning-data misalignment"
"AN Numeracy",2021,32.93,2025,67.35,4,"2021-2025",67.35,75.35,68.72,19.5876873460236,2.84576528401068,0.100737580347965,-16.7419220620129,-19.4869497656756,"Internal Anomaly","Internal Anomaly","Planning-data misalignment","Planning-data misalignment"
"APK Tertiary",2021,31.19,2025,32.89,4,"2021-2025",32.89,38.04,60,1.33561899783357,3.70367779833314,3.05151214130805,2.36805880049957,1.71589314347449,"Significant Acceleration","Moderate Acceleration","Aspirational overreach","None flagged"
