"Year","Equal","Cov_Informed","Qual_Heavy","Equity_Heavy","Max_Dev","Mean_Dev"
2022,58.6184873534256,57.9330368244132,55.5144166933426,61.7225580135085,3.1040706600829,2.29786394972605
2023,65.0382392656129,64.1931396137935,62.6216933314649,67.4547851997608,2.41654593414795,1.89273050670508
2024,65.0499839148335,64.6770839931087,63.7208761658482,66.3790916638189,1.32910774898535,1.01037180656519
2025,68.5752863865485,68.5812507590462,67.7864975100121,69.364075263085,0.788788876536444,0.527847375190172
