"Parameter","Floor_shift","D1a_2025","D1b_2025","IIEQI_2022","IIEQI_2025","Gain_2022_2025"
"PISA floors",-20,71.6256927779893,47.4639093782929,60.9817782334992,70.6121441288142,9.63036589531499
"PISA floors",-10,68.0756843800322,47.4639093782929,59.9548857984925,69.7246420293249,9.76975623083241
"PISA floors",0,63.4782618089269,47.4639093782929,58.6184873534256,68.5752863865485,9.95679903312299
"PISA floors",10,57.2635588314201,47.4639093782929,56.7992110505843,67.0216106421718,10.2223995915875
"PISA floors",20,48.3190539167769,47.4639093782929,54.1522901778927,64.785484413511,10.6331942356183
"AN floors",-5,63.4782618089269,51.5441970310391,60.0737674959579,69.5953582997351,9.52159080377724
"AN floors",0,63.4782618089269,47.4639093782929,58.6184873534256,68.5752863865485,9.95679903312299
"AN floors",5,63.4782618089269,42.6096683354193,56.8930678106224,67.3617261258301,10.4686583152077
