"Year","Total_APS","Urban_APS","Rural_APS","Male_APS","Female_APS","UR_Gap","GPI","UR_Score","GPI_Score","Equity_Score"
2009,55.05,62.84,47.52,55.8,54.25,15.32,0.972,0,100,50
2014,70.13,74.68,65.29,69.7,70.58,9.39,1.013,40.0134952766532,100,70.0067476383266
2021,70.74,73.9,66.54,70.02,71.49,7.36,1.021,53.7112010796221,100,76.8556005398111
2022,72.88,75.79,69.04,71.34,74.51,6.75,1.044,57.8272604588394,86,71.9136302294197
2023,73.07,75.61,69.51,71.59,74.63,6.1,1.042,62.2132253711201,88,75.10661268556
2024,74.35,77.6,69.59,72.61,76.13,8.01,1.048,49.3252361673414,82,65.6626180836707
2025,76.2,79.44,71.34,74.29,78.16,8.1,1.052,48.7179487179487,78,63.3589743589744
