"Scenario","Year","D1a_PISA","D1b_AN","D2_Access","D3_Equity","UR_Gap","GPI","IIEQI"
"Conservative",2029,63.4782618089269,47.4639093782929,100,63.3589743589744,8.1,1.052,68.5752863865485
"Conservative",2045,63.4782618089269,47.4639093782929,100,63.3589743589744,8.1,1.052,68.5752863865485
"Moderate",2029,63.4782618089269,77.3365123999224,100,70.7404371135038,6.22615044096372,1.04988113359375,77.8888028305883
"Moderate",2045,63.4782618089269,100,100,87.7243773271172,2.17349164765609,1.04325912896482,87.800659784011
"Optimistic",2029,63.4782618089269,88.6485585027447,100,71.7214351603788,6.22615044096372,1.0479191375,80.9620638680126
"Optimistic",2045,63.4782618089269,100,100,90.4105966630334,2.17349164765609,1.03788669029299,88.4722146179901
